"","FirstDoses","SecondDoses","date","day"
"5",0,0,"2022-04-30",0
"12",0,0,"2022-05-07",7
"19",0,0,"2022-05-14",14
"26",0,0,"2022-05-21",21
"33",0,0,"2022-05-28",28
"40",0,0,"2022-06-04",35
"47",0,0,"2022-06-11",42
"54",0,0,"2022-06-18",49
"61",0,0,"2022-06-25",56
"68",0,0,"2022-07-02",63
"75",0,0,"2022-07-09",70
"82",0,0,"2022-07-16",77
"89",0.857142857142857,0,"2022-07-23",84
"96",2.28571428571429,0,"2022-07-30",91
"103",0.857142857142857,0,"2022-08-06",98
"110",102.857142857143,2.71428571428571,"2022-08-13",105
"117",343.857142857143,3.42857142857143,"2022-08-20",112
"124",539.857142857143,7.57142857142857,"2022-08-27",119
"131",384.285714285714,4.71428571428571,"2022-09-03",126
"138",274.857142857143,45.2857142857143,"2022-09-10",133
"145",259,170,"2022-09-17",140
"152",139.714285714286,196.285714285714,"2022-09-24",147
"159",141.857142857143,312.857142857143,"2022-10-01",154
"166",118.714285714286,228,"2022-10-08",161
"173",71,189.857142857143,"2022-10-15",168
"180",37.8571428571429,121,"2022-10-22",175
"187",29.4285714285714,73.5714285714286,"2022-10-29",182
"195",29,72.8571428571429,"2022-11-06",190
"202",20.4285714285714,61.4285714285714,"2022-11-13",197
"209",17.5714285714286,41.2857142857143,"2022-11-20",204
"216",25.5714285714286,46.2857142857143,"2022-11-27",211
"223",15.5714285714286,18.7142857142857,"2022-12-04",218
"230",8.71428571428571,33.5714285714286,"2022-12-11",225
"237",3.14285714285714,17,"2022-12-18",232
"244",1.85714285714286,22.4285714285714,"2022-12-25",239
"251",5.28571428571429,17.7142857142857,"2023-01-01",246
"258",0.571428571428571,6.85714285714286,"2023-01-08",253
"265",0.142857142857143,3.85714285714286,"2023-01-15",260
"272",0.428571428571429,1.71428571428571,"2023-01-22",267
"279",0.857142857142857,2.57142857142857,"2023-01-29",274
"286",0.285714285714286,0.714285714285714,"2023-02-05",281
"293",0,0,"2023-02-12",288
"307",0,0.428571428571429,"2023-02-26",302
"314",0.142857142857143,0.285714285714286,"2023-03-05",309
"321",0,0.285714285714286,"2023-03-12",316
"328",0,0.142857142857143,"2023-03-19",323
"349",0,0.142857142857143,"2023-04-09",344
"356",0,0,"2023-04-16",351
"363",0,0.142857142857143,"2023-04-23",358
"384",0,0,"2023-05-14",379
"391",0,0,"2023-05-21",386
"398",7.57142857142857,1.14285714285714,"2023-05-28",393
"433",12,6.28571428571429,"2023-07-02",428
"440",10.7142857142857,14.1428571428571,"2023-07-09",435
"447",9.85714285714286,12.4285714285714,"2023-07-16",442
"454",7,11.4285714285714,"2023-07-23",449
"461",8,8.85714285714286,"2023-07-30",456
"468",5.57142857142857,7.42857142857143,"2023-08-06",463
"475",8.71428571428571,5.85714285714286,"2023-08-13",470
"482",5.57142857142857,4,"2023-08-20",477
"489",6.42857142857143,6.85714285714286,"2023-08-27",484
"496",7.14285714285714,6.42857142857143,"2023-09-03",491
"503",14.1428571428571,6.57142857142857,"2023-09-10",498
"510",11.5714285714286,7.57142857142857,"2023-09-17",505
"517",8.57142857142857,4.85714285714286,"2023-09-24",512
"524",7.42857142857143,7.71428571428571,"2023-10-01",519
"531",8.71428571428571,6.71428571428571,"2023-10-08",526
"538",7.85714285714286,8.57142857142857,"2023-10-15",533
"545",3.85714285714286,8.42857142857143,"2023-10-22",540
"553",1.85714285714286,11.1428571428571,"2023-10-30",548
"560",0.428571428571429,8.71428571428571,"2023-11-06",555
"567",0.857142857142857,5.71428571428571,"2023-11-13",562
"574",0.142857142857143,1,"2023-11-20",569
"581",0.142857142857143,0.714285714285714,"2023-11-27",576
"588",0.428571428571429,2,"2023-12-04",583
"595",0,0.571428571428571,"2023-12-11",590
"602",0,0,"2023-12-18",597
"609",0,0,"2023-12-25",604
"616",0,0,"2024-01-01",611
"623",0,0,"2024-01-08",618
"630",0,0,"2024-01-15",625
"637",0,0,"2024-01-22",632
"644",0,0,"2024-01-29",639
"651",0,0,"2024-02-05",646
"658",0,0,"2024-02-12",653
"665",0,0,"2024-02-19",660
"672",0,0,"2024-02-26",667
"679",0,0,"2024-03-04",674
"686",0,0,"2024-03-11",681
"693",0,0,"2024-03-18",688
"700",0,0,"2024-03-25",695
"707",0,0,"2024-04-01",702
"714",0,0,"2024-04-08",709
"721",0,0,"2024-04-15",716
"728",0,0,"2024-04-22",723
"735",0,0,"2024-04-29",730
"742",0,0,"2024-05-06",737
"749",0,0,"2024-05-13",744
"756",0,0,"2024-05-20",751
"763",0,0,"2024-05-27",758
"771",0,0,"2024-06-04",766
"778",0,0,"2024-06-11",773
"785",0,0,"2024-06-18",780
"792",0,0,"2024-06-25",787
"799",0,0,"2024-07-02",794
"806",0,0,"2024-07-09",801
"813",0,0,"2024-07-16",808
"820",0,0,"2024-07-23",815
"827",0,0,"2024-07-30",822
"834",0,0,"2024-08-06",829
"841",0,0,"2024-08-13",836
"848",0,0,"2024-08-20",843
"855",0,0,"2024-08-27",850
"862",0,0,"2024-09-03",857
"869",0,0,"2024-09-10",864
"876",0,0,"2024-09-17",871
"883",0,0,"2024-09-24",878
"890",0,0,"2024-10-01",885
"897",0,0,"2024-10-08",892
"904",0,0,"2024-10-15",899
"911",0,0,"2024-10-22",906
"918",0,0,"2024-10-29",913
"925",0,0,"2024-11-05",920
"932",0,0,"2024-11-12",927
"939",0,0,"2024-11-19",934
"946",0,0,"2024-11-26",941
"954",0,0,"2024-12-04",949
"961",0,0,"2024-12-11",956
"968",0,0,"2024-12-18",963
"975",0,0,"2024-12-25",970
"982",0,0,"2025-01-01",977
"989",0,0,"2025-01-08",984
"996",0,0,"2025-01-15",991
"1003",0,0,"2025-01-22",998
"1010",0,0,"2025-01-29",1005
"1017",0,0,"2025-02-05",1012
"1024",0,0,"2025-02-12",1019
"1031",0,0,"2025-02-19",1026
"1038",0,0,"2025-02-26",1033
"1045",0,0,"2025-03-05",1040
"1052",0,0,"2025-03-12",1047
"1059",0,0,"2025-03-19",1054
"1066",0,0,"2025-03-26",1061
"1073",0,0,"2025-04-02",1068
"1080",0,0,"2025-04-09",1075
"1087",0,0,"2025-04-16",1082
"1094",0,0,"2025-04-23",1089
"1101",0,0,"2025-04-30",1096
"1108",0,0,"2025-05-07",1103
